datetime,inlet,outlet,outfall
2026-03-20 16:00,31.305,37.5231,38.1259
2026-03-20 17:00,31.3384,37.5478,38.1611
2026-03-20 18:00,31.3026,37.5331,38.1553
2026-03-20 19:00,31.2224,37.4606,38.072
2026-03-20 20:00,31.1415,37.413,38.0374
2026-03-20 21:00,31.1041,37.37,37.9967
2026-03-20 22:00,31.0736,37.3488,37.981
2026-03-20 23:00,31.0336,37.3168,37.9435
2026-03-21 00:00,31.0636,37.3137,37.9044
2026-03-21 01:00,31.0044,37.2739,37.8842
2026-03-21 02:00,30.9573,37.1974,37.8383
2026-03-21 03:00,30.9223,37.1365,37.8104
2026-03-21 04:00,30.9301,37.1447,37.7831
2026-03-21 05:00,30.8897,37.1306,37.7528
2026-03-21 06:00,30.8448,37.0973,37.7503
2026-03-21 07:00,30.8475,37.1054,37.7585
2026-03-21 08:00,30.8308,37.1191,37.7807
2026-03-21 09:00,30.871,37.1626,37.8518
2026-03-21 10:00,30.9023,37.1934,37.9108
2026-03-21 11:00,31.0068,37.2911,37.9613
2026-03-21 12:00,31.0244,37.3245,38.0122
2026-03-21 13:00,31.1358,37.4172,38.0798
2026-03-21 14:00,31.2641,37.5167,38.1998
2026-03-21 15:00,31.3345,37.5814,38.2354
2026-03-21 16:00,31.4157,37.6355,38.2731
2026-03-21 17:00,31.4148,37.6288,38.2553
2026-03-21 18:00,31.3304,37.5793,38.1935
2026-03-21 19:00,31.2836,37.5182,38.1326
2026-03-21 20:00,31.2552,37.5004,38.0866
2026-03-21 21:00,31.2256,37.4749,38.0572
2026-03-21 22:00,31.154,37.3927,38.0146
2026-03-21 23:00,31.102,37.3441,37.9395
2026-03-22 00:00,31.0502,37.2904,37.8837
2026-03-22 01:00,31.0123,37.2301,37.811
2026-03-22 02:00,30.9569,37.1833,37.7789
2026-03-22 03:00,30.9326,37.1228,37.7723
2026-03-22 04:00,30.8831,37.1013,37.7293
2026-03-22 05:00,30.9122,37.116,37.7137
2026-03-22 06:00,30.908,37.1202,37.7264
2026-03-22 07:00,30.9158,37.0182,37.7693
